Name,ID#,,,,,,,,,,,,,,
,,,,,,,,,1.089276595,0.737399403,0.423080786,0.142507847,-0.107668788,-0.333233416,-0.535519654
tridecylamine,88,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,,,,,1.151945849,0.804380192,0.493003673,0.212850516,-0.039083141
n-tetratriacontane,89,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,,,,,,1.417142933,1.049914763,0.719192563,0.421502349
n-hexatriacontane,90,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,,,,,,,1.252347823,0.903345466,0.58896573
pregnenolone,91,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,,,,1.453614598,1.114407633,0.810177486,0.536261711,0.290768701,0.067721077
progesterone,92,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,,,,1.422389678,1.095976602,0.804659288,0.541475423,0.303952797,0.088747702
estrone,93,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,,,,1.199600187,0.875279419,0.585997159,0.325497488,0.090538354,-0.121270343
danazol,94,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,,,,,1.341436085,1.014140019,0.71957159,0.453733331,0.214084435
7-dehydroxycholesterol,95,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,,,,,,1.144114175,0.830992471,0.548640896,0.293652719
cholecalciferol,96,60,80,100,120,140,160,180,200,220,240,260,280,300,320
,,,,,,,,,,,1.268174376,0.939577309,0.643851595,0.37706894,0.136373181
